isbn,section,title,page
9780024316202,1,Introduction,1
9780024316202,2,Fundamental Concepts of Probability,13
9780024316202,3,Single Random Variables and Probability Distributions,72
9780024316202,4,Probability Distributions for More Than One Random Variable,87
9780024316202,5,"Elementary Statistics, Empirical Probability Distributions, and More on Simulation",132
9780024316202,6,Estimation Theory and Applications,151
9780024316202,7,Engineering Decisions,176
9780024316202,8,Reliability,196
9780024316202,9,Introduction to Random Processes,215
9780024316202,10,Random Processes Through Systems,243
9780024316202,A,Some Concepts and Formulas from Linear System Theory,278
9780024316202,B,MATLAB Hints and Overview,289
9780024316202,C,Tables and MATLAB Programs for Computation of Certain Probability Distributions,297
9780024316202,D,Mathematical Formulas,308
9780024316202,E,Answers to Selected Problems,311
9780030193743,Ch. 1,A First Look at Statistics and MINITAB,1
9780030193743,Ch. 2,Describing Data: Graphical and Numerical Methods,22
9780030193743,Ch. 3,Modeling Bivariate Data: Describing the Relationship Between Two Variables,96
9780030193743,Ch. 4,Probability: Measuring Uncertainty,134
9780030193743,Ch. 5,Random Variables and Their Distributions,184
9780030193743,Ch. 6,Discrete Probability Distributions,218
9780030193743,Ch. 7,Normal Probability Distributions,254
9780030193743,Ch. 8,Sampling Methods and Sampling Distributions,288
9780030193743,Ch. 9,"Estimating Means, Proportions, and Variances: Single Sample",324
9780030193743,Ch. 10,Tests of Hypotheses: Single Sample,374
9780030193743,Ch. 11,Tests of Hypotheses and Estimation: Two Samples,426
9780030193743,Ch. 12,Chi-Square Tests for Analyzing Count Data,488
9780030193743,Ch. 13,Analysis of Variance,524
9780030193743,Ch. 14,Linear Regression Analysis,558
9780030193743,Ch. 15,Nonparametric Tests,602
9780071445856,Ch. 1,Manufacturing and transactional processes,1
9780071445856,Ch. 2,"Evolution of Lean Six Sigma, R-DMAIC-S",9
9780071445856,Ch. 3,Recognize,23
9780071445856,Ch. 4,Define,57
9780071445856,Ch. 5,Measure,77
9780071445856,Ch. 6,Analyze,143
9780071445856,Ch. 7,Improve,207
9780071445856,Ch. 8,Control,241
9780071445856,Ch. 9,Sustain,265
9780071445856,App. A,Quantitative risk assessment,285
9780071445856,App. B,Process simulation,309
9780071445856,App. C,Statistical analysis,319
9780072286410,Ch. 1,Statistics: The Arithmetic of Uncertainty,1
9780072286410,Ch. 2,Basic Concepts,33
9780072286410,Ch. 3,"Exploratory Data Analysis, Frequency Distributions and Percentiles",67
9780072286410,Ch. 4,Measures of Central Tendency,107
9780072286410,Ch. 5,Measures of Dispersion,141
9780072286410,Ch. 6,Graphs and Tables,185
9780072286410,Ch. 7,Correlation,219
9780072286410,Ch. 8,Regression and Prediction,265
9780072286410,Ch. 9,Probability: The Foundation of Inferential Statistics,307
9780072286410,Ch. 10,Introduction to Statistical Inference,355
9780072286410,Ch. 11,Statistical Inference: Single Samples,395
9780072286410,Ch. 12,Statistical Inference: Two-Sample Case,437
9780072286410,Ch. 13,An Introduction to the Analysis of Variance,483
9780072286410,Ch. 14,The Two-Factor Analysis of Variance,537
9780072286410,Ch. 15,Statistical Inference with Nominal Data,575
9780072286410,Ch. 16,Statistical Inference: Ordinally Scaled Variables,605
9780072286410,Appendix A,A Review of Basic Mathematics,621
9780072286410,Appendix B,Handling Nonnormal Distributions,629
9780072286410,Appendix C,Symbol Glossary,636
9780072286410,Appendix D,Tables,641
9780072945485,Pt. 1,Planning and designing the survey,1
9780072945485,Ch. 1,Initiating a survey,3
9780072945485,Ch. 2,Planning the project,26
9780072945485,Ch. 3,Designing the sample,55
9780072945485,Pt. 2,Developing survey instruments,87
9780072945485,Ch. 4,Composing questions,89
9780072945485,Ch. 5,Creating item scales,116
9780072945485,Ch. 6,Building questionnaires,146
9780072945485,Pt. 3,Collecting and processing data,179
9780072945485,Ch. 7,Self-administered surveys,181
9780072945485,Ch. 8,Collecting interview data,213
9780072945485,Ch. 9,Processing the data,242
9780072945485,Pt. 4,Interpreting and reporting results,267
9780072945485,Ch. 10,Describing data distributions,269
9780072945485,Ch. 11,Measuring item interactions,301
9780072945485,Ch. 12,Reporting the information,341
9780072945485,App. A,Conducting focus groups,386
9780072945485,App. B,Conducting experiments,403
9780072945485,App. C,Presenting survey results,420
9780073014661,Pt. 1,Simple linear regression,1
9780073014661,Ch. 1,Linear regression with one predictor variable,2
9780073014661,Ch. 2,Inferences in regression and correlation analysis,40
9780073014661,Ch. 3,Diagnostics and remedial measures,100
9780073014661,Ch. 4,Simultaneous inferences and other topics in regression analysis,154
9780073014661,Ch. 5,Matrix approach to simple linear regression analysis,176
9780073014661,Pt. 2,Multiple linear regression,213
9780073014661,Ch. 6,Multiple regression I,214
9780073014661,Ch. 7,Multiple regression II,256
9780073014661,Ch. 8,Regression models for quantitative and qualitative predictors,294
9780073014661,Ch. 9,Building the regression model I : model selection and validation,343
9780073014661,Ch. 10,Building the regression model II : diagnostics,384
9780073014661,Ch. 11,Building the regression model III : remedial measures,421
9780073014661,Ch. 12,Autocorrelation in time series data,481
9780073014661,Pt. 3,Nonlinear regression,509
9780073014661,Ch. 13,Introduction to nonlinear regression and neural networks,510
9780073014661,Ch. 14,"Logistic regression, Poisson regression, and generalized linear models",555
9780073014661,App. A,Some basic results in probability and statistics,641
9780073272962,1,What Is Statistics?,1
9780073272962,2,Summarizing Data: Frequency Distributions and Graphic Presentation,25
9780073272962,3,Describing Data - Measures of Central Tendency,73
9780073272962,4,Measures of Dispersion and Skewness,113
9780073272962,5,A Survey of Probability Concepts,167
9780073272962,6,Discrete Probability Distributions,217
9780073272962,7,The Normal Probability Distribution,255
9780073272962,8,Sampling Methods and Sampling Distributions,293
9780073272962,9,Tests of Hypotheses: Large Samples,343
9780073272962,10,Tests of Hypotheses: Small Samples,399
9780073272962,11,Analysis of Variance,433
9780073272962,12,Linear Regression and Correlation,477
9780073272962,13,Multiple Regression and Correlation,529
9780073272962,14,Nonparametric Methods: Chi-Square Applications,575
9780073272962,15,Nonparametric Methods: Analysis of Ranked Data,605
9780073272962,16,Statistical Quality Control,655
9780073272962,17,Index Numbers,691
9780073272962,18,Time Series and Forecasting,727
9780073272962,19,An Introduction to Decision Making Under Uncertainty,767
9780073305431,Ch. 1,The Nature of Statistics,3
9780073305431,Ch. 2,Organizing Data,43
9780073305431,Ch. 3,Descriptive Measures,101
9780073305431,Ch. 4,Probability Concepts,181
9780073305431,Ch. 5,Discrete Random Variables,241
9780073305431,Ch. 6,The Normal Distribution,299
9780073305431,Ch. 7,The Sampling Distribution of the Mean,367
9780073305431,Ch. 8,Confidence Intervals for One Population Mean,403
9780073305431,Ch. 9,Hypothesis Tests for One Population Mean,445
9780073305431,Ch. 10,Inferences for Two Population Means,511
9780073305431,Ch. 11,Inferences for Population Proportions,565
9780073305431,Ch. 12,Chi-Square Procedures,599
9780073305431,Ch. 13,Descriptive Methods in Regression and Correlation,647
9780073305431,Ch. 14,Inferential Methods in Regression and Correlation,697
9780120415540,1,Data and Data File Manipulation with Mathematica,1
9780120415540,2,Univariate Methods for Describing Data,57
9780120415540,3,Multivariate Methods for Describing Data,95
9780120415540,4,Tabular and Graphical Methods for Presenting Data,131
9780120415540,5,Data Smoothing and Time Series: An Introduction,189
9780120415540,6,Probability and Probability Distributions,207
9780120415540,7,Random Number Generation and Simulation,287
9780120415540,8,One- and Two-Sample Inferential Procedures,319
9780120415540,9,Analysis of Variance and Multiple Comparisons of Means,359
9780120415540,10,Diagnostic Procedures and Transformations,409
9780120415540,11,Regression and Correlation,455
9780120415540,12,Nonparametric Methods,551
9780120884940,1,Introduction,1
9780120884940,2,Elementary descriptive statistical techniques,9
9780120884940,3,Probability theory,53
9780120884940,4,Random variables and probability distributions,93
9780120884940,5,Bivariate probability distributions,147
9780120884940,6,Discrete parametric probability distributions,187
9780120884940,7,Continuous parametric probability distributions,235
9780120884940,8,Sampling and the sampling distribution of a statistic,293
9780120884940,9,"The chi-square, student's t, and Snedecor's F distributions",349
9780120884940,10,Point estimation and properties of point estimators,373
9780120884940,11,Interval estimation and confidence interval estimates,439
9780120884940,12,Tests of parametric statistical hypotheses,483
9780120884940,13,Nonparametric statistical techniques,569
9780120884940,14,Testing goodness of fit,609
9780120884940,15,Testing goodness of fit : contingency tables,643
9780120884940,16,Bivariate linear regression and correlation,669
9780120887705,Ch. 1,"Data, notation, and some basic terms",3
9780120887705,Ch. 2,Distributions,15
9780120887705,Ch. 3,Summary statistics,37
9780120887705,Ch. 4,Confidence intervals and probability,57
9780120887705,Ch. 5,Hypothesis testing : concept and practice,75
9780120887705,Ch. 6,"Statistical testing, risks, and odds in medical decisions",93
9780120887705,Ch. 7,Sample size required for a study,115
9780120887705,Ch. 8,Statistical prediction,125
9780120887705,Ch. 9,Epidemiology,137
9780120887705,Ch. 10,Reading medical articles,153
9780120887705,Ch. 11,Using the reference guide,187
9780120887705,Ch. 12,Planning medical studies,195
9780120887705,Ch. 13,Finding probabilities of error,213
9780120887705,Ch. 14,Confidence intervals,227
9780120887705,Ch. 15,Tests on categorical data,241
9780120887705,Ch. 16,Tests on ranked data,281
9780120887705,Ch. 17,Tests on means of continuous data,305
9780120887705,Ch. 18,Multifactor tests on means of continuous data,331
9780120887705,Ch. 19,Tests on variances of continuous data,355
9780120887705,Ch. 20,Tests on the distribution shape of continuous data,369
9780120887705,Ch. 21,Equivalence testing,387
9780120887705,Ch. 22,Sample size required in a study,397
9780120887705,Ch. 23,Modeling and clinical decisions,419
9780120887705,Ch. 24,Regression and correlation methods,447
9780120887705,Ch. 25,Survival and time-series analysis,487
9780120887705,Ch. 26,"Methods you might meet, but not every day",521
9780121726515,1,Introduction,1
9780121726515,2,Introduction to probability theory,7
9780121726515,3,"Random variables, distributions, and density functions",47
9780121726515,4,Operations on a single random variable,87
9780121726515,5,Pairs of random variables,147
9780121726515,6,Multiple random variables,207
9780121726515,7,Random sequences and series,239
9780121726515,8,Random processes,277
9780121726515,9,Markov processes,323
9780121726515,10,Power spectral density,369
9780121726515,11,Random processes in linear systems,413
9780121726515,12,Simulation techniques,457
9780121726515,App. A,Review of set theory,487
9780121726515,App. B,Review of linear algebra,491
9780121726515,App. C,Review of signals and systems,499
9780121726515,App. D,Summary of common random variables,505
9780121726515,App. E,Mathematical tables,517
9780121726515,App. F,Numerical methods for evaluating the Q-function,525
9780122146909,1.0,Summary,1
9780122146909,1.1,A General Definition of Unimodality on the Line,1
9780122146909,1.2,The Convex Structure of the Set of Unimodal Distributions,4
9780122146909,1.3,Convolution Properties of Unimodal Distributions,11
9780122146909,1.4,Strong Unimodality,17
9780122146909,1.5,The Gauss Inequality and the Three-Sigma Rule for Unimodal Distributions,23
9780122146909,1.6,The Mean-Median-Mode Inequality,33
9780122146909,2.0,Summary,37
9780122146909,2.1,Notation,37
9780122146909,2.2,Some Definitions of Unimodality for Distributions on R[superscript n],38
9780122146909,2.3,Logconcave Distributions,46
9780122146909,2.4,Preservation of Unimodality Properties under Weak Limits,53
9780122146909,2.5,The Choquet Version of Central Convex Unimodality,54
9780122146909,2.6,Interrelationships among the Definitions,57
